phi_temp,theta_fix,random,dz,u,ratio,OH,CH
0,-15,537.2743975685773,5,4,0.29006946202338046,2.08844814998171e-17,7.199820813310486e-17
15,-15,325.61203696929766,5,4,0.2875453147563272,2.0449019910066414e-17,7.111581674490298e-17
30,-15,337.2318485822223,5,4,0.289015541459946,2.0314880573407622e-17,7.028992444762011e-17
45,-15,405.4680557340522,5,4,0.3172810174567517,1.9673363089218196e-17,6.200611447515878e-17
60,-15,216.91572722960765,5,4,0.37174087608791867,2.1576775772149992e-17,5.804251606446145e-17
75,-15,25.03055252282752,5,4,0.3426687677902306,2.1383940478485595e-17,6.24041129175101e-17
90,-15,67.80065038893028,5,4,0.3031237214685036,2.4590192732267236e-17,8.112262746425244e-17
105,-15,248.22206902176237,5,4,0.3014924091507744,2.900229372519691e-17,9.619576760452715e-17
120,-15,215.9191228256944,5,4,0.30303868383295424,3.703692236771529e-17,1.2221846366034036e-16
135,-15,34.39694534321554,5,4,0.288517320823608,4.244941841699391e-17,1.4712953210509808e-16
150,-15,230.02264226659776,5,4,0.27290252540785936,4.695774919612009e-17,1.7206784409906286e-16
165,-15,260.59771705539583,5,4,0.27786515318016214,5.0746292285410526e-17,1.8262920594619383e-16
180,-15,311.1584929860719,5,4,0.2769508687860235,5.252315264727366e-17,1.8964790714505346e-16
195,-15,139.92937832101643,5,4,0.28160264760546266,4.9920153865768145e-17,1.7727160696197862e-16
210,-15,269.9090929938183,5,4,0.27703206416186776,4.733517642910917e-17,1.7086533492907007e-16
225,-15,172.75679299302476,5,4,0.27269830297477765,4.002600784071966e-17,1.4677761982413855e-16
240,-15,257.52718268505544,5,4,0.2923366381757409,3.571636448460981e-17,1.2217546424385774e-16
255,-15,217.98275227675737,5,4,0.33449327500254844,3.00735810005091e-17,8.990787931470363e-17
270,-15,168.4089072227804,5,4,0.31620266014160964,2.6183317036724265e-17,8.280549260717228e-17
285,-15,25.427778125941913,5,4,0.30876707673352033,1.9594305727121233e-17,6.345982847138845e-17
300,-15,202.45492346534974,5,4,0.3215586238676282,1.9880875009261164e-17,6.182659563018053e-17
315,-15,252.28090246470242,5,4,0.308639619619486,1.9423977596206908e-17,6.29341677525207e-17
330,-15,17.59218396830501,5,4,0.2507595217232906,1.9197895584687065e-17,7.655898947626667e-17
345,-15,293.32398674265954,5,4,0.2934236608871615,2.1177863730722658e-17,7.217503750955783e-17
360,-15,171.95176825007994,5,4,0.2437479845650253,1.9325093810475193e-17,7.928309169391219e-17
