Upload/ca20.txt,Upload/ca20.txt,Upload/ca21.txt,Upload/ca21.txt,Upload/ca22.txt,Upload/ca22.txt
Seconds,Amps,Seconds,Amps,Seconds,Amps
8.6,2.42921e-09,8.6,2.64652e-09,8.6,2.67494e-09
8.7,2.45322e-09,8.7,2.66105e-09,8.7,2.67052e-09
8.8,2.46775e-09,8.8,2.68063e-09,8.8,2.69516e-09
8.9,2.45132e-09,8.9,2.68821e-09,8.9,2.6781e-09
9.0,2.44248e-09,9.0,2.7059e-09,9.0,2.65157e-09
9.1,2.42732e-09,9.1,2.69832e-09,9.1,2.6383e-09
9.2,2.40837e-09,9.2,2.66926e-09,9.2,2.62188e-09
9.3,2.39068e-09,9.3,2.64083e-09,9.3,2.63136e-09
9.4,2.41279e-09,9.4,2.62946e-09,9.4,2.63894e-09
9.5,2.41721e-09,9.5,2.63009e-09,9.5,2.63894e-09
9.6,2.433e-09,9.6,2.61493e-09,9.6,2.6143e-09
9.7,2.44564e-09,9.7,2.60798e-09,9.7,2.61556e-09
9.8,2.49617e-09,9.8,2.60672e-09,9.8,2.6162e-09
9.9,2.46459e-09,9.9,2.59914e-09,9.9,2.60798e-09
10.0,2.44121e-09,10.0,2.60356e-09,10.0,2.6383e-09
10.1,2.42732e-09,10.1,2.59472e-09,10.1,2.62441e-09
10.2,2.42163e-09,10.2,2.59598e-09,10.2,2.64273e-09
10.3,2.40394e-09,10.3,2.60546e-09,10.3,2.65599e-09
10.4,2.41468e-09,10.4,2.61746e-09,10.4,2.67242e-09
10.5,2.41468e-09,10.5,2.61241e-09,10.5,2.63767e-09
10.6,2.44248e-09,10.6,2.60546e-09,10.6,2.63641e-09
10.7,2.45448e-09,10.7,2.59282e-09,10.7,2.64209e-09
10.8,2.45511e-09,10.8,2.60546e-09,10.8,2.65789e-09
10.9,2.47027e-09,10.9,2.59788e-09,10.9,2.66547e-09
11.0,2.46585e-09,11.0,2.59724e-09,11.0,2.65726e-09
11.1,2.46206e-09,11.1,2.59156e-09,11.1,2.66484e-09
11.2,2.45448e-09,11.2,2.63136e-09,11.2,2.63704e-09
11.3,2.49933e-09,11.3,2.64146e-09,11.3,2.63262e-09
11.4,2.48733e-09,11.4,2.62946e-09,11.4,2.69263e-09
11.5,2.56882e-09,11.5,2.62757e-09,11.5,2.76149e-09
11.6,2.53344e-09,11.6,2.65283e-09,11.6,2.75643e-09
11.7,2.48859e-09,11.7,2.65915e-09,11.7,2.71537e-09
11.8,2.49554e-09,11.8,2.65662e-09,11.8,2.73432e-09
11.9,2.48291e-09,11.9,2.64778e-09,11.9,2.704e-09
12.0,2.55682e-09,12.0,2.62062e-09,12.0,2.70842e-09
12.1,2.50123e-09,12.1,2.6162e-09,12.1,2.70274e-09
12.2,2.55176e-09,12.2,2.63704e-09,12.2,2.69895e-09
12.3,2.50565e-09,12.3,2.62314e-09,12.3,2.66673e-09
12.4,2.47406e-09,12.4,2.61746e-09,12.4,2.67873e-09
12.5,2.47722e-09,12.5,2.60482e-09,12.5,2.67747e-09
12.6,2.52397e-09,12.6,2.6143e-09,12.6,2.67431e-09
12.7,2.54987e-09,12.7,2.6023e-09,12.7,2.65094e-09
12.8,2.51575e-09,12.8,2.60419e-09,12.8,2.64904e-09
12.9,2.50438e-09,12.9,2.61556e-09,12.9,2.63451e-09
13.0,2.47469e-09,13.0,2.60861e-09,13.0,2.64083e-09
13.1,2.47722e-09,13.1,2.5903e-09,13.1,2.63388e-09
13.2,2.4728e-09,13.2,2.60293e-09,13.2,2.64589e-09
13.3,2.4848e-09,13.3,2.58461e-09,13.3,2.6661e-09
13.4,2.48859e-09,13.4,2.56566e-09,13.4,2.64146e-09
13.5,2.48606e-09,13.5,2.56376e-09,13.5,2.67494e-09
13.6,2.45511e-09,13.6,2.58082e-09,13.6,2.67558e-09
13.7,2.44058e-09,13.7,2.60672e-09,13.7,2.67937e-09
13.8,2.42795e-09,13.8,2.62693e-09,13.8,2.67431e-09
13.9,2.50249e-09,13.9,2.59724e-09,13.9,2.72295e-09
14.0,2.4968e-09,14.0,2.58587e-09,14.0,2.70021e-09
14.1,2.47154e-09,14.1,2.59535e-09,14.1,2.66168e-09
14.2,2.47596e-09,14.2,2.58461e-09,14.2,2.64778e-09
14.3,2.51955e-09,14.3,2.57829e-09,14.3,2.68442e-09
14.4,2.49554e-09,14.4,2.58524e-09,14.4,2.65347e-09
14.5,2.45574e-09,14.5,2.57198e-09,14.5,2.62567e-09
14.6,2.47785e-09,14.6,2.56629e-09,14.6,2.65283e-09
14.7,2.44311e-09,14.7,2.59282e-09,14.7,2.6661e-09
14.8,2.43427e-09,14.8,2.64209e-09,14.8,2.65473e-09
14.9,2.40521e-09,14.9,2.63894e-09,14.9,2.63957e-09
15.0,2.40521e-09,15.0,2.60546e-09,15.0,2.61935e-09
15.1,2.4071e-09,15.1,2.60482e-09,15.1,2.65726e-09
15.2,2.40078e-09,15.2,2.61367e-09,15.2,2.64083e-09
15.3,2.42605e-09,15.3,2.62378e-09,15.3,2.62314e-09
15.4,2.45195e-09,15.4,2.60798e-09,15.4,2.61746e-09
15.5,2.45132e-09,15.5,2.61556e-09,15.5,2.6162e-09
15.6,2.46964e-09,15.6,2.59724e-09,15.6,2.61493e-09
15.7,2.4709e-09,15.7,2.58271e-09,15.7,2.59977e-09
15.8,2.45764e-09,15.8,2.59724e-09,15.8,2.59345e-09
15.9,2.44564e-09,15.9,2.59345e-09,15.9,2.6004e-09
16.0,2.42226e-09,16.0,2.59661e-09,16.0,2.60103e-09
16.1,2.42605e-09,16.1,2.57766e-09,16.1,2.61051e-09
16.2,2.45385e-09,16.2,2.60293e-09,16.2,2.62251e-09
16.3,2.42479e-09,16.3,2.63072e-09,16.3,2.61177e-09
16.4,2.43047e-09,16.4,2.63641e-09,16.4,2.60861e-09
16.5,2.433e-09,16.5,2.60167e-09,16.5,2.70211e-09
16.6,2.42289e-09,16.6,2.6263e-09,16.6,2.72801e-09
16.7,2.421e-09,16.7,2.6162e-09,16.7,2.68e-09
16.8,2.42605e-09,16.8,2.62504e-09,16.8,2.6661e-09
16.9,2.43427e-09,16.9,2.63957e-09,16.9,2.65031e-09
17.0,2.45006e-09,17.0,2.60482e-09,17.0,2.67621e-09
17.1,2.45448e-09,17.1,2.6162e-09,17.1,2.68379e-09
17.2,2.47343e-09,17.2,2.66041e-09,17.2,2.68884e-09
