Seconds	Amps
0.0	2.59535e-009	
0.1	2.65599e-009	
0.2	2.62757e-009	
0.3	2.58461e-009	
0.4	2.57008e-009	
0.5	2.54923e-009	
0.6	2.54987e-009	
0.7	2.64146e-009	
0.8	2.65978e-009	
0.9	2.63451e-009	
1.0	2.58777e-009	
1.1	2.60988e-009	
1.2	2.61304e-009	
1.3	2.61493e-009	
1.4	2.65094e-009	
1.5	2.73306e-009	
1.6	2.73432e-009	
1.7	2.64146e-009	
1.8	2.62314e-009	
1.9	2.61746e-009	
2.0	2.63388e-009	
2.1	2.59977e-009	
2.2	2.66863e-009	
2.3	2.65031e-009	
2.4	2.6541e-009	
2.5	2.64968e-009	
2.6	2.61809e-009	
2.7	2.58966e-009	
2.8	2.60861e-009	
2.9	2.65536e-009	
3.0	2.67179e-009	
3.1	2.62062e-009	
3.2	2.56376e-009	
3.3	2.56882e-009	
3.4	2.54039e-009	
3.5	2.61872e-009	
3.6	2.57071e-009	
3.7	2.57892e-009	
3.8	2.54165e-009	
3.9	2.53092e-009	
4.0	2.54165e-009	
4.1	2.56882e-009	
4.2	2.57956e-009	
4.3	2.53723e-009	
4.4	2.52333e-009	
4.5	2.54481e-009	
4.6	2.55618e-009	
4.7	2.53786e-009	
4.8	2.52713e-009	
4.9	2.50502e-009	
5.0	2.51702e-009	
5.1	2.50502e-009	
5.2	2.51639e-009	
5.3	2.52839e-009	
5.4	2.54039e-009	
5.5	2.51512e-009	
5.6	2.52081e-009	
5.7	2.48291e-009	
5.8	2.49428e-009	
5.9	2.47848e-009	
6.0	2.50754e-009	
6.1	2.49617e-009	
6.2	2.52713e-009	
6.3	2.52649e-009	
6.4	2.50438e-009	
6.5	2.51575e-009	
6.6	2.50754e-009	
6.7	2.5227e-009	
6.8	2.53597e-009	
6.9	2.54671e-009	
7.0	2.54165e-009	
7.1	2.52523e-009	
7.2	2.51512e-009	
7.3	2.52713e-009	
7.4	2.5227e-009	
7.5	2.50059e-009	
7.6	2.47975e-009	
7.7	2.46585e-009	
7.8	2.45764e-009	
7.9	2.4469e-009	
8.0	2.43995e-009	
8.1	2.45258e-009	
8.2	2.43742e-009	
8.3	2.41974e-009	
8.4	2.42416e-009	
8.5	2.45006e-009	
8.6	2.42921e-009	
8.7	2.45322e-009	
8.8	2.46775e-009	
8.9	2.45132e-009	
9.0	2.44248e-009	
9.1	2.42732e-009	
9.2	2.40837e-009	
9.3	2.39068e-009	
9.4	2.41279e-009	
9.5	2.41721e-009	
9.6	2.433e-009	
9.7	2.44564e-009	
9.8	2.49617e-009	
9.9	2.46459e-009	
10.0	2.44121e-009	
10.1	2.42732e-009	
10.2	2.42163e-009	
10.3	2.40394e-009	
10.4	2.41468e-009	
10.5	2.41468e-009	
10.6	2.44248e-009	
10.7	2.45448e-009	
10.8	2.45511e-009	
10.9	2.47027e-009	
11.0	2.46585e-009	
11.1	2.46206e-009	
11.2	2.45448e-009	
11.3	2.49933e-009	
11.4	2.48733e-009	
11.5	2.56882e-009	
11.6	2.53344e-009	
11.7	2.48859e-009	
11.8	2.49554e-009	
11.9	2.48291e-009	
12.0	2.55682e-009	
12.1	2.50123e-009	
12.2	2.55176e-009	
12.3	2.50565e-009	
12.4	2.47406e-009	
12.5	2.47722e-009	
12.6	2.52397e-009	
12.7	2.54987e-009	
12.8	2.51575e-009	
12.9	2.50438e-009	
13.0	2.47469e-009	
13.1	2.47722e-009	
13.2	2.4728e-009	
13.3	2.4848e-009	
13.4	2.48859e-009	
13.5	2.48606e-009	
13.6	2.45511e-009	
13.7	2.44058e-009	
13.8	2.42795e-009	
13.9	2.50249e-009	
14.0	2.4968e-009	
14.1	2.47154e-009	
14.2	2.47596e-009	
14.3	2.51955e-009	
14.4	2.49554e-009	
14.5	2.45574e-009	
14.6	2.47785e-009	
14.7	2.44311e-009	
14.8	2.43427e-009	
14.9	2.40521e-009	
15.0	2.40521e-009	
15.1	2.4071e-009	
15.2	2.40078e-009	
15.3	2.42605e-009	
15.4	2.45195e-009	
15.5	2.45132e-009	
15.6	2.46964e-009	
15.7	2.4709e-009	
15.8	2.45764e-009	
15.9	2.44564e-009	
16.0	2.42226e-009	
16.1	2.42605e-009	
16.2	2.45385e-009	
16.3	2.42479e-009	
16.4	2.43047e-009	
16.5	2.433e-009	
16.6	2.42289e-009	
16.7	2.421e-009	
16.8	2.42605e-009	
16.9	2.43427e-009	
17.0	2.45006e-009	
17.1	2.45448e-009	
17.2	2.47343e-009	
17.3	2.46648e-009	
17.4	2.44879e-009	
17.5	2.44943e-009	
17.6	2.45764e-009	
17.7	2.49554e-009	
17.8	2.44816e-009	
17.9	2.46017e-009	
18.0	2.42542e-009	
18.1	2.43553e-009	
18.2	2.44121e-009	
18.3	2.43679e-009	
18.4	2.40773e-009	
18.5	2.42795e-009	
18.6	2.41342e-009	
18.7	2.40142e-009	
18.8	2.40205e-009	
18.9	2.40521e-009	
19.0	2.4349e-009	
19.1	2.42605e-009	
19.2	2.409e-009	
19.3	2.38183e-009	
19.4	2.36857e-009	
19.5	2.36225e-009	
19.6	2.37615e-009	
19.7	2.36983e-009	
19.8	2.38183e-009	
19.9	2.37046e-009	
20.0	2.35151e-009	
20.1	2.37804e-009	
20.2	2.39194e-009	
20.3	2.40142e-009	
20.4	2.37489e-009	
20.5	2.3951e-009	
20.6	2.41216e-009	
20.7	2.40963e-009	
20.8	2.37868e-009	
20.9	2.39005e-009	
21.0	2.40963e-009	
21.1	2.3951e-009	
21.2	2.3831e-009	
21.3	2.38562e-009	
21.4	2.39257e-009	
21.5	2.3831e-009	
21.6	2.40142e-009	
21.7	2.38752e-009	
21.8	2.40773e-009	
21.9	2.40837e-009	
22.0	2.41279e-009	
22.1	2.41405e-009	
22.2	2.433e-009	
22.3	2.41721e-009	
22.4	2.43932e-009	
22.5	2.40963e-009	
22.6	2.41279e-009	
22.7	2.40268e-009	
22.8	2.42984e-009	
22.9	2.43616e-009	
23.0	2.4608e-009	
23.1	2.46395e-009	
23.2	2.41216e-009	
23.3	2.42858e-009	
23.4	2.39763e-009	
23.5	2.41468e-009	
23.6	2.38436e-009	
23.7	2.46585e-009	
23.8	2.49933e-009	
23.9	2.43806e-009	
24.0	2.42921e-009	
24.1	2.41847e-009	
24.2	2.41468e-009	
24.3	2.39763e-009	
24.4	2.3951e-009	
24.5	2.38941e-009	
24.6	2.37109e-009	
24.7	2.35278e-009	
24.8	2.3414e-009	
24.9	2.33446e-009	
