Seconds	Amps
0.0	2.68442e-009	
0.1	2.70779e-009	
0.2	2.71979e-009	
0.3	2.7577e-009	
0.4	2.74127e-009	
0.5	2.69453e-009	
0.6	2.69453e-009	
0.7	2.66105e-009	
0.8	2.69453e-009	
0.9	2.74569e-009	
1.0	2.73622e-009	
1.1	2.69389e-009	
1.2	2.68252e-009	
1.3	2.67873e-009	
1.4	2.68126e-009	
1.5	2.73116e-009	
1.6	2.72737e-009	
1.7	2.71474e-009	
1.8	2.68505e-009	
1.9	2.72422e-009	
2.0	2.76149e-009	
2.1	2.88088e-009	
2.2	2.78107e-009	
2.3	2.74759e-009	
2.4	2.70906e-009	
2.5	2.69453e-009	
2.6	2.70211e-009	
2.7	2.68884e-009	
2.8	2.68505e-009	
2.9	2.70716e-009	
3.0	2.70274e-009	
3.1	2.68126e-009	
3.2	2.68e-009	
3.3	2.68505e-009	
3.4	2.71032e-009	
3.5	2.73875e-009	
3.6	2.72422e-009	
3.7	2.71979e-009	
3.8	2.73811e-009	
3.9	2.71853e-009	
4.0	2.692e-009	
4.1	2.66863e-009	
4.2	2.66799e-009	
4.3	2.68316e-009	
4.4	2.67558e-009	
4.5	2.68442e-009	
4.6	2.67937e-009	
4.7	2.67747e-009	
4.8	2.69453e-009	
4.9	2.70779e-009	
5.0	2.69705e-009	
5.1	2.70527e-009	
5.2	2.69263e-009	
5.3	2.68695e-009	
5.4	2.68631e-009	
5.5	2.66863e-009	
5.6	2.68758e-009	
5.7	2.68189e-009	
5.8	2.68189e-009	
5.9	2.66799e-009	
6.0	2.67368e-009	
6.1	2.71727e-009	
6.2	2.73875e-009	
6.3	2.7299e-009	
6.4	2.7299e-009	
6.5	2.76085e-009	
6.6	2.78739e-009	
6.7	2.77349e-009	
6.8	2.77096e-009	
6.9	2.74569e-009	
7.0	2.72232e-009	
7.1	2.70716e-009	
7.2	2.7059e-009	
7.3	2.72485e-009	
7.4	2.70274e-009	
7.5	2.69642e-009	
7.6	2.66799e-009	
7.7	2.69768e-009	
7.8	2.73685e-009	
7.9	2.72864e-009	
8.0	2.68379e-009	
8.1	2.66673e-009	
8.2	2.65031e-009	
8.3	2.66231e-009	
8.4	2.67558e-009	
8.5	2.69516e-009	
8.6	2.67494e-009	
8.7	2.67052e-009	
8.8	2.69516e-009	
8.9	2.6781e-009	
9.0	2.65157e-009	
9.1	2.6383e-009	
9.2	2.62188e-009	
9.3	2.63136e-009	
9.4	2.63894e-009	
9.5	2.63894e-009	
9.6	2.6143e-009	
9.7	2.61556e-009	
9.8	2.6162e-009	
9.9	2.60798e-009	
10.0	2.6383e-009	
10.1	2.62441e-009	
10.2	2.64273e-009	
10.3	2.65599e-009	
10.4	2.67242e-009	
10.5	2.63767e-009	
10.6	2.63641e-009	
10.7	2.64209e-009	
10.8	2.65789e-009	
10.9	2.66547e-009	
11.0	2.65726e-009	
11.1	2.66484e-009	
11.2	2.63704e-009	
11.3	2.63262e-009	
11.4	2.69263e-009	
11.5	2.76149e-009	
11.6	2.75643e-009	
11.7	2.71537e-009	
11.8	2.73432e-009	
11.9	2.704e-009	
12.0	2.70842e-009	
12.1	2.70274e-009	
12.2	2.69895e-009	
12.3	2.66673e-009	
12.4	2.67873e-009	
12.5	2.67747e-009	
12.6	2.67431e-009	
12.7	2.65094e-009	
12.8	2.64904e-009	
12.9	2.63451e-009	
13.0	2.64083e-009	
13.1	2.63388e-009	
13.2	2.64589e-009	
13.3	2.6661e-009	
13.4	2.64146e-009	
13.5	2.67494e-009	
13.6	2.67558e-009	
13.7	2.67937e-009	
13.8	2.67431e-009	
13.9	2.72295e-009	
14.0	2.70021e-009	
14.1	2.66168e-009	
14.2	2.64778e-009	
14.3	2.68442e-009	
14.4	2.65347e-009	
14.5	2.62567e-009	
14.6	2.65283e-009	
14.7	2.6661e-009	
14.8	2.65473e-009	
14.9	2.63957e-009	
15.0	2.61935e-009	
15.1	2.65726e-009	
15.2	2.64083e-009	
15.3	2.62314e-009	
15.4	2.61746e-009	
15.5	2.6162e-009	
15.6	2.61493e-009	
15.7	2.59977e-009	
15.8	2.59345e-009	
15.9	2.6004e-009	
16.0	2.60103e-009	
16.1	2.61051e-009	
16.2	2.62251e-009	
16.3	2.61177e-009	
16.4	2.60861e-009	
16.5	2.70211e-009	
16.6	2.72801e-009	
16.7	2.68e-009	
16.8	2.6661e-009	
16.9	2.65031e-009	
17.0	2.67621e-009	
17.1	2.68379e-009	
17.2	2.68884e-009	
17.3	2.692e-009	
17.4	2.67621e-009	
17.5	2.66168e-009	
17.6	2.64589e-009	
17.7	2.62693e-009	
17.8	2.63578e-009	
17.9	2.69137e-009	
18.0	2.67115e-009	
18.1	2.66231e-009	
18.2	2.63957e-009	
18.3	2.65031e-009	
18.4	2.6383e-009	
18.5	2.66168e-009	
18.6	2.71095e-009	
18.7	2.68884e-009	
18.8	2.65536e-009	
18.9	2.66421e-009	
19.0	2.66105e-009	
19.1	2.64336e-009	
19.2	2.68126e-009	
19.3	2.66041e-009	
19.4	2.64904e-009	
19.5	2.63641e-009	
19.6	2.61367e-009	
19.7	2.61556e-009	
19.8	2.60798e-009	
19.9	2.60861e-009	
20.0	2.6004e-009	
20.1	2.61051e-009	
20.2	2.63515e-009	
20.3	2.64778e-009	
20.4	2.65726e-009	
20.5	2.66926e-009	
20.6	2.65157e-009	
20.7	2.65283e-009	
20.8	2.66547e-009	
20.9	2.66231e-009	
21.0	2.66799e-009	
21.1	2.71348e-009	
21.2	2.73748e-009	
21.3	2.692e-009	
21.4	2.68884e-009	
21.5	2.64715e-009	
21.6	2.63072e-009	
21.7	2.62441e-009	
21.8	2.63262e-009	
21.9	2.67747e-009	
22.0	2.67115e-009	
22.1	2.65473e-009	
22.2	2.76338e-009	
22.3	2.82592e-009	
22.4	2.7577e-009	
22.5	2.73116e-009	
22.6	2.69832e-009	
22.7	2.68568e-009	
22.8	2.67747e-009	
22.9	2.66421e-009	
23.0	2.64273e-009	
23.1	2.62946e-009	
23.2	2.63136e-009	
23.3	2.63894e-009	
23.4	2.62062e-009	
23.5	2.61304e-009	
23.6	2.60735e-009	
23.7	2.6004e-009	
23.8	2.60356e-009	
23.9	2.61304e-009	
24.0	2.59788e-009	
24.1	2.5764e-009	
24.2	2.5745e-009	
24.3	2.56566e-009	
24.4	2.59788e-009	
24.5	2.58019e-009	
24.6	2.5644e-009	
24.7	2.54229e-009	
24.8	2.5903e-009	
24.9	2.61872e-009	
